"start_date","end_date","frequency","months","yield_shock","pfolio_return_delta_shock_unadjusted_by_weighted","pfolio_noncash_weight","pfolio_return_delta_shock","count_of_stocks","bmark_return_delta_shock"
2015-03-31,2017-01-31,"monthly",22,1,0.0158055031224306,0.957067,0.0165145210548797,42,0.0336706210251349
2015-03-31,2017-01-31,"weekly",22,1,0.0227737097355111,0.957067,0.0237953139492962,42,0.0322579689875623
2015-03-31,2017-01-31,"daily",22,1,0.0298121006222524,0.957067,0.0311494395086784,42,0.0302397941098233
2015-02-27,2017-01-31,"monthly",23,1,0.0264890872152227,0.957067,0.0276773592812443,42,0.039652854594189
2015-02-27,2017-01-31,"weekly",23,1,0.0188957512908197,0.957067,0.0197433944445057,42,0.0265977099184217
2015-02-27,2017-01-31,"daily",23,1,0.0273493604834378,0.957067,0.0285762234863785,42,0.0277102718578951
2015-01-30,2017-01-31,"monthly",24,1,0.0127803692971215,0.957067,0.013353682967986,42,0.023101187281115
2015-01-30,2017-01-31,"weekly",24,1,0.0206903767908549,0.957067,0.0216185249213011,42,0.0273078635278141
2015-01-30,2017-01-31,"daily",24,1,0.0267245622800145,0.957067,0.027923397505101,42,0.0269492123213457
2014-12-31,2017-01-31,"monthly",25,1,0.0126320538454465,0.957067,0.0131987142440879,42,0.0229964278322865
2014-12-31,2017-01-31,"weekly",25,1,0.0221546269043632,0.957067,0.0231484597257696,42,0.0288514804927847
2014-12-31,2017-01-31,"daily",25,1,0.0283757138198243,0.957067,0.0296486179335661,42,0.028808395965519
2014-11-28,2017-01-31,"monthly",26,1,0.00975592558207709,0.957067,0.010193565948964,42,0.0199042540130262
2014-11-28,2017-01-31,"weekly",26,1,0.0237593040997501,0.957067,0.0248251210205243,42,0.0315822260700404
2014-11-28,2017-01-31,"daily",26,1,0.0297194812380379,0.957067,0.0310526653181416,42,0.0306014596541777
2014-10-31,2017-01-31,"monthly",27,1,0.0094536335187808,0.957067,0.00987771338765291,42,0.0200576045585128
2014-10-31,2017-01-31,"weekly",27,1,0.0243598951756775,0.957067,0.0254526539685074,42,0.0319685851846851
2014-10-31,2017-01-31,"daily",27,1,0.0299991739779603,0.957067,0.0313449047746504,42,0.030644630082491
2014-09-30,2017-01-31,"monthly",28,1,0.0114272893718469,0.957067,0.0119399053272622,42,0.0215013701021797
2014-09-30,2017-01-31,"weekly",28,1,0.027338557873488,0.957067,0.0285649362829227,42,0.0348871902970028
2014-09-30,2017-01-31,"daily",28,1,0.0307917010019542,0.957067,0.0321729837116463,42,0.0314485726836693
2014-08-29,2017-01-31,"monthly",29,1,0.0117758482141135,0.957067,0.0123041001456675,42,0.0204580766674929
2014-08-29,2017-01-31,"weekly",29,1,0.0283396149001828,0.957067,0.0296108996550741,42,0.0350606392253601
2014-08-29,2017-01-31,"daily",29,1,0.0312289607573939,0.957067,0.0326298584711352,42,0.0316041879018191
2014-07-31,2017-01-31,"monthly",30,1,0.0111187102477851,0.957067,0.0116174836743772,42,0.0202211625067999
2014-07-31,2017-01-31,"weekly",30,1,0.0278862885221152,0.957067,0.0291372375414837,42,0.0347964726198012
2014-07-31,2017-01-31,"daily",30,1,0.0311743760425409,0.957067,0.0325728251444683,42,0.0316794712711292
2014-06-30,2017-01-31,"monthly",31,1,0.0108182682303755,0.957067,0.0113035641500287,42,0.0200616577253069
2014-06-30,2017-01-31,"weekly",31,1,0.0289047556895368,0.957067,0.0302013920546177,42,0.0358969440159993
2014-06-30,2017-01-31,"daily",31,1,0.0316965665715373,0.957067,0.0331184405810014,42,0.0322792946439787
2014-05-30,2017-01-31,"monthly",32,1,0.00943854366487301,0.957067,0.00986194661906952,42,0.0192058221994658
2014-05-30,2017-01-31,"weekly",32,1,0.0291414504605535,0.957067,0.0304487046994135,42,0.0361589170061401
2014-05-30,2017-01-31,"daily",32,1,0.0316926666901505,0.957067,0.0331143657551148,42,0.032474613454265
2014-04-30,2017-01-31,"monthly",33,1,0.0102265920588185,0.957067,0.0106853460194726,42,0.0191317566914181
2014-04-30,2017-01-31,"weekly",33,1,0.0290343197797297,0.957067,0.0303367682510521,42,0.0357970153689634
2014-04-30,2017-01-31,"daily",33,1,0.0316890696077996,0.957067,0.0331106073115044,42,0.0322853830142869
2014-03-31,2017-01-31,"monthly",34,1,0.00795550346168505,0.957067,0.00831237882163427,42,0.0174352953193847
2014-03-31,2017-01-31,"weekly",34,1,0.0308609381245894,0.957067,0.0322453267374064,42,0.0375142807762377
2014-03-31,2017-01-31,"daily",34,1,0.032685361649155,0.957067,0.0341515919461804,42,0.0331365961987835
2014-02-28,2017-01-31,"monthly",35,1,0.00783918116266804,0.957067,0.00819083842893762,42,0.0172996873760317
2014-02-28,2017-01-31,"weekly",35,1,0.0304061710428101,0.957067,0.0317701592916798,42,0.0368221406113587
2014-02-28,2017-01-31,"daily",35,1,0.0332989039441026,0.957067,0.0347926570909901,42,0.0335832257247466
2014-01-31,2017-01-31,"monthly",36,1,0.00949112807679801,0.957067,0.00991688991136254,42,0.019241197554121
2014-01-31,2017-01-31,"weekly",36,1,0.0308196097026064,0.957067,0.032202144366702,42,0.0373240299752472
2014-01-31,2017-01-31,"daily",36,1,0.0332576372293557,0.957067,0.0347495391956422,42,0.0335498995511664
