"start_date","end_date","frequency","months","yield_shock","pfolio_return_delta_shock_unadjusted_by_weighted","pfolio_noncash_weight","pfolio_return_delta_shock","count_of_stocks","bmark_return_delta_shock"
2010-02-26,2013-02-28,"weekly",36,1,0.0598732881205102,0.861647,0.0694870267296354,36,0.067679669696104
2010-01-29,2013-01-31,"weekly",36,1,0.0565872578363043,0.858657,0.0659020515017106,36,0.064026208129826
2009-12-31,2012-12-31,"weekly",36,1,0.0614004766054882,0.850639,0.0721815912572644,35,0.0732227852293921
2009-11-30,2012-11-30,"weekly",36,1,0.0646528077426551,0.861999,0.0750033442528994,35,0.0801655506168826
2009-10-30,2012-10-31,"weekly",36,1,0.0578297354539741,0.863406,0.0669786119785756,35,0.0749292613773933
2009-09-30,2012-09-28,"weekly",35,1,0.0548579295529345,0.811571,0.0675947385415872,35,0.0753491164776482
2009-08-31,2012-08-31,"weekly",36,1,0.061930628838231,0.876084,0.0706902863632151,36,0.0781535823474144
2009-07-31,2012-07-31,"weekly",36,1,0.0631304801998682,0.880726,0.0716800460073487,34,0.0754867096914492
2009-06-30,2012-06-29,"weekly",35,1,0.0568018489126821,0.845487,0.0671824036474625,34,0.0717992652189014
2009-05-29,2012-05-31,"weekly",36,1,0.0554889477939292,0.84,0.066058271183249,34,0.0716618605583951
2009-04-30,2012-04-30,"weekly",36,1,0.0479544401787835,0.836798,0.05730706834718,32,0.0621409710116103
2009-03-31,2012-03-30,"weekly",35,1,0.044558417599344,0.834145,0.0534180719171655,32,0.0568666757949465
2009-02-27,2012-02-29,"weekly",36,1,0.0506707299373168,0.835496,0.0606474835754053,31,0.0649699711878614
2009-01-30,2012-01-31,"weekly",36,1,0.0576339367694652,0.846321,0.068099381640613,32,0.0699343013356734
